date,user_id,name,email,type,all_calls,inbound_calls,outbound_calls,voicemails,missed,abandoned,forwarded,cancelled,minutes,acd,inbound_minutes,outbound_minutes,internal_calls,forwarding_number,desktop_app,mobile_voip,desk_phone,web_app,callbacks_cancelled,handled,answered,answered_transferred,message,spam,in_queue_voicemail,dtmf_voicemail,direct_to_voicemail,transfer_voicemail,outbound_connected,connected_transferred,transferred_out,transferred_in,dtmf_transfer,auto_transfer,router_transfer,forward_transfer,ringing_duration,avg_ringing_duration,hold_duration,avg_hold_duration,talk_duration,avg_talk_duration,rejected,ring_no_answer
2026-09-11,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,27,2,25,0,1,0,0,4,8.8,0.4,0.7,8.1,0,0,0,0,0,26,0,22,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0.39,0.2,0,0,8.78,0.4,0,0
2026-09-11,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,110,10,100,1,4,2,0,16,78.8,0.9,6.6,72.2,0,0,0,104,0,0,0,88,4,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,1.25,0.13,0,0,78.93,0.9,0,0
2026-09-12,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-13,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-14,4817832001675264,Winsalot Corp.,info@winsalotcorp.com,user,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-14,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,107,4,103,0,0,0,0,21,38.2,0.4,1.6,36.6,0,0,0,0,0,107,0,86,4,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,1.33,0.33,0,0,38.1,0.44,0,0
2026-09-14,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,85,2,83,0,1,0,0,7,77,1,0,76.9,0,0,0,84,0,0,0,77,1,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0.18,0.09,0,0,76.91,1,0,0
2026-09-15,4817832001675264,Winsalot Corp.,info@winsalotcorp.com,user,2,2,0,0,1,0,0,0,1.3,1.3,1.3,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.13,0,0,1.28,1.28,0,0
2026-09-15,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,88,1,87,0,0,0,0,13,41.2,0.5,0.7,40.4,0,0,0,0,0,88,0,75,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0.28,0.28,0,0,41.14,0.55,0,0
2026-09-15,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,75,3,72,0,2,0,0,11,49.9,0.8,0.9,48.9,1,0,0,73,0,0,0,62,1,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0.94,0.31,0,0,49.84,0.8,0,0
2026-09-16,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,93,1,92,0,1,0,0,19,46.1,0.6,0,46.1,0,0,0,92,0,0,0,73,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0.5,0.5,0,0,46.15,0.63,0,0
2026-09-16,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,90,5,85,0,4,0,0,18,31.4,0.5,0.6,30.8,0,0,0,0,0,86,0,68,1,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,1.55,0.31,0,0,31.38,0.46,0,0
2026-09-17,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,78,0,78,0,0,0,0,23,34.5,0.6,0,34.5,1,0,0,78,0,0,0,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,34.47,0.63,0,0
2026-09-17,4817832001675264,Winsalot Corp.,info@winsalotcorp.com,user,2,2,0,0,0,0,0,0,6.7,3.4,6.7,0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.18,0,0,6.71,3.35,0,0
2026-09-17,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,46,3,43,0,1,0,0,7,18.3,0.5,0.5,17.8,0,0,0,1,0,44,0,38,2,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0.92,0.31,0,0,18.25,0.48,0,0
2026-09-18,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,93,2,91,0,0,0,0,17,45.8,0.6,2.9,42.8,0,0,0,93,0,0,0,76,2,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0.3,0.15,0,0,45.78,0.6,0,0
2026-09-18,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,90,1,89,0,0,0,0,13,24.6,0.3,0.4,24.2,0,0,0,0,0,90,0,77,1,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0.19,0.19,0,0,24.6,0.32,0,0
